id,company_name,promoter_name,gstin,pan,state,sector,annual_turnover_inr,annual_turnover_lakhs,net_profit_inr,profit_margin_pct,total_assets_inr,total_liabilities_inr,net_worth_inr,existing_loans_inr,collateral_value_inr,loan_requested_inr,loan_requested_lakhs,debt_equity_ratio,dscr,collateral_coverage,existing_loan_burden,business_vintage_years,employee_count,gst_filing_months,nil_filing_months,bank_gst_mismatch_pct,itc_ratio_pct,cibil_score,litigation_flag,promoter_risk_flag,ai_credit_score,risk_category,recommendation,default_flag
81,Sharma Trading Co & Co,Ramesh Verma,29DDDAZ7868T1ZF,DDDAZ7868T,Karnataka,Food Processing,13523244,135.2,494151,3.65,9180684,2735348,6445336,1522266,1830240,4930511,49.3,0.42,1.09,0.37,0.11,7,35,8,4,37.57,19.75,659,0,0,66.7,MEDIUM,APPROVE WITH CONDITIONS,0
82,Chopra & Arora Industries Ltd,Satish Bhatia,07YYYEK4881J1ZX,YYYEK4881J,Delhi,Logistics,4686856,46.9,328722,7.01,1766757,826032,940726,484907,952825,1252105,12.5,0.88,2.84,0.76,0.1,10,121,10,2,3.8,34.01,681,0,0,98.2,LOW,APPROVE,0
83,Anita Bhatia Fabrics & Co,Rakesh Gupta,27HHHGW3365Z2Z3,HHHGW3365Z,Maharashtra,IT/ITES,20951549,209.5,5216145,24.9,18730551,15107845,3622706,7021763,13574979,8058908,80.6,4.17,6.44,1.68,0.34,12,40,5,7,15.58,22.53,573,0,0,84.5,LOW,APPROVE,0
84,Vikram Suppliers & Co,Kiran Malhotra,24YYYTX4555P1ZL,YYYTX4555P,Gujarat,Auto Components,15884579,158.8,1939825,12.21,14666604,5470303,9196302,2879349,4875484,2649948,26.5,0.59,5.84,1.84,0.18,19,10,10,2,6.73,21.65,434,0,0,100.0,LOW,APPROVE,0
85,Singh Industries Ltd,Divya Kulkarni,29ZZZJY6246G2ZK,ZZZJY6246G,Karnataka,Retail,12878990,128.8,491454,3.82,4952114,3600686,1351428,1822314,4790350,7269738,72.7,2.66,0.73,0.66,0.14,6,101,5,7,21.36,34.59,598,0,0,64.3,MEDIUM,CONDITIONAL APPROVAL,0
86,Agarwal Solutions,Dinesh Singh,24ZZZHF3293X3ZV,ZZZHF3293X,Gujarat,Auto Components,49087318,490.9,6254234,12.74,18702319,10257602,8444717,4649694,4023665,12165465,121.7,1.21,5.57,0.33,0.09,28,20,12,0,9.2,4.65,696,0,0,100.0,LOW,APPROVE,0
87,Iyer Fabrics Ltd,Vikram Mishra,27TTTJV8993A1ZY,TTTJV8993A,Maharashtra,Textile,33549844,335.5,3012095,8.98,24925557,15184542,9741015,10450991,18065967,16421022,164.2,1.56,1.99,1.1,0.31,26,28,12,0,4.69,29.6,635,0,0,97.1,LOW,APPROVE,0
88,Shah & Kumar Enterprises LLP,Manish Mehta,22MMMJS4984W1ZJ,MMMJS4984W,Chhattisgarh,Steel,73317213,733.2,2079596,2.84,29933586,19555260,10378326,14983722,41699051,35903200,359.0,1.88,0.63,1.16,0.2,11,10,12,0,6.36,27.79,336,0,0,59.7,MEDIUM,CONDITIONAL APPROVAL,0
89,Bhatt & Kumar Works Pvt Ltd,Manish Malhotra,27IIIAC5593R3Z2,IIIAC5593R,Maharashtra,Logistics,5486994,54.9,551793,10.06,2137796,1748963,388832,1145894,882887,3424733,34.2,4.5,1.75,0.26,0.21,2,420,7,5,17.58,15.34,594,0,0,45.2,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
90,Kavita Traders,Vikram Agarwal,24CCCHT7499Y2Z1,CCCHT7499Y,Gujarat,Pharmaceuticals,48494547,484.9,5331448,10.99,18728438,15311731,3416707,10959446,21733992,12958927,129.6,4.48,4.22,1.68,0.23,29,42,11,1,20.35,24.75,656,1,0,81.6,LOW,APPROVE,0
91,Pooja Fabrics & Co,Ganesh Joshi,03KKKHD2499A2ZS,KKKHD2499A,Punjab,Manufacturing,39982634,399.8,5316970,13.3,17091940,12533008,4558932,4728975,11823798,19509364,195.1,2.75,2.95,0.61,0.12,4,96,12,0,17.24,39.87,554,0,0,86.3,LOW,APPROVE,0
92,Vikas Brothers Ltd,Rajan Rao,29HHHTQ3778V2ZA,HHHTQ3778V,Karnataka,IT/ITES,18242899,182.4,1960632,10.75,6449718,3568326,2881392,1876169,4675594,9508386,95.1,1.24,2.23,0.49,0.1,4,29,12,0,9.54,1.66,550,1,0,74.1,MEDIUM,APPROVE WITH CONDITIONS,0
93,Deepak Brothers Ltd,Priya Iyer,07TTTLZ6399O2ZR,TTTLZ6399O,Delhi,Retail,2890821,28.9,136452,4.72,1422353,455667,966687,223932,290429,1294626,12.9,0.47,1.14,0.22,0.08,17,24,12,0,39.96,42.71,642,1,0,71.9,MEDIUM,APPROVE WITH CONDITIONS,0
94,Kiran Agarwal Solutions LLP,Pooja Tandon,36VVVPA8563W1ZS,VVVPA8563W,Telangana,IT/ITES,9777301,97.8,-140521,-1.44,3203677,651018,2552658,273714,500582,1785015,17.9,0.26,0.3,0.28,0.03,12,11,9,3,31.8,16.72,736,0,0,62.3,MEDIUM,CONDITIONAL APPROVAL,0
95,Naresh Rao Products,Rajesh Mehta,27BBBHW9796T3Z5,BBBHW9796T,Maharashtra,Steel,104762147,1047.6,5026676,4.8,95440512,51914459,43526053,31951872,85293568,53581389,535.8,1.19,1.02,1.59,0.3,29,31,10,2,18.4,29.74,639,0,0,72.5,MEDIUM,APPROVE WITH CONDITIONS,0
96,Singh & Deshpande Exports Ltd,Mukesh Tandon,33OOOHM8586Y3ZW,OOOHM8586Y,Tamil Nadu,Auto Components,44946590,449.5,3394669,7.55,41141098,22881243,18259855,17322742,40493977,14882453,148.8,1.25,1.7,2.72,0.39,26,9,7,5,8.72,4.63,777,0,0,91.4,LOW,APPROVE,0
97,Yadav & Yadav Products,Sunita Patel,09BBBBA6620U1ZA,BBBBA6620U,Uttar Pradesh,Chemicals,23562811,235.6,-352847,-1.5,7844716,6496040,1348675,4445808,11468351,13021376,130.2,4.82,0.3,0.88,0.19,8,23,7,5,13.6,22.83,678,0,1,38.5,HIGH,HIGH RISK — COLLATERAL REQUIRED,1
98,Paresh Joshi Manufacturers LLP,Ashish Deshpande,21IIIBS2667Z3ZB,IIIBS2667Z,Odisha,Steel,131791525,1317.9,11783681,8.94,105775016,32205800,73569216,26284897,60859814,28347992,283.5,0.44,3.89,2.15,0.2,22,230,5,7,12.68,32.65,439,1,0,97.3,LOW,APPROVE,0
99,Singh Fabrics LLP,Vikas Arora,07CCCEE6131D1ZJ,CCCEE6131D,Delhi,Retail,15628939,156.3,616352,3.94,15422535,3848034,11574501,1381199,1935023,6949187,69.5,0.33,0.96,0.28,0.09,12,11,7,5,28.53,29.46,604,0,0,66.9,MEDIUM,APPROVE WITH CONDITIONS,0
100,Divya Traders Pvt Ltd,Arjun Desai,33AAAJE4196M3ZW,AAAJE4196M,Tamil Nadu,Auto Components,40494533,404.9,3760670,9.29,32301544,22091118,10210426,15408977,17185282,22678140,226.8,2.16,1.8,0.76,0.38,25,142,12,0,13.04,25.98,373,0,0,80.9,LOW,APPROVE,0
101,Rao Exports Pvt Ltd,Mukesh Deshpande,29SSSBI9898L3Z2,SSSBI9898L,Karnataka,Pharmaceuticals,89104106,891.0,14901966,16.72,32396652,27413650,4983002,22957650,17356510,22816238,228.2,5.5,5.63,0.76,0.26,24,46,9,3,11.82,22.14,703,0,0,89.9,LOW,APPROVE,0
102,Desai Works Ltd,Sunil Rao,27BBBTL9720I3ZY,BBBTL9720I,Maharashtra,Steel,80489440,804.9,6744944,8.38,25924188,5813261,20110927,4248347,6342375,22215314,222.2,0.29,3.29,0.29,0.05,16,68,8,4,34.72,21.96,691,0,0,98.7,LOW,APPROVE,0
103,Neha Trading Co Ltd,Dinesh Khanna,36SSSEI7786M2Z4,SSSEI7786M,Telangana,Pharmaceuticals,59243133,592.4,3694154,6.24,26177216,21111777,5065439,6516026,10119525,9637011,96.4,4.17,4.15,1.05,0.11,2,71,10,2,33.16,47.82,590,0,0,69.1,MEDIUM,APPROVE WITH CONDITIONS,0
104,Pooja Trading Co Pvt Ltd,Vikas Iyer,29RRRTE8951Z2Z3,RRRTE8951Z,Karnataka,Food Processing,19732190,197.3,1691174,8.57,19039407,11353634,7685773,5831624,13923313,7411055,74.1,1.48,2.47,1.88,0.3,15,49,10,2,29.67,9.63,495,0,0,94.8,LOW,APPROVE,0
105,Arjun Fabrics,Anil Chopra,03MMMEJ4836N3Z5,MMMEJ4836N,Punjab,Manufacturing,20620987,206.2,1580372,7.66,8894332,7161290,1733042,3353865,3357011,6466742,64.7,4.13,2.65,0.52,0.16,1,12,10,2,15.45,31.86,573,0,0,82.6,LOW,APPROVE,0
106,Singh & Bhatia Works,Mukesh Jain,29KKKHJ3246M1Z9,KKKHJ3246M,Karnataka,Pharmaceuticals,23298236,233.0,-817485,-3.51,22342913,7125438,15217474,3019633,4362728,13709241,137.1,0.47,0.3,0.32,0.13,8,25,9,3,9.31,19.37,485,0,1,28.0,VERY HIGH,REJECT,1
107,Desai & Gupta Associates Pvt Ltd,Priya Modi,24KKKCH5537U1ZF,KKKCH5537U,Gujarat,Manufacturing,38892433,388.9,5105352,13.13,14925305,11106094,3819211,7145489,7477960,15620571,156.2,2.91,3.54,0.48,0.18,21,54,12,0,8.85,37.78,702,0,0,100.0,LOW,APPROVE,0
108,Rajesh Exports Pvt Ltd,Anita Chopra,29LLLHE7337S2ZN,LLLHE7337S,Karnataka,Food Processing,28484080,284.8,583647,2.05,12976423,4212050,8764372,1657070,1233694,17186473,171.9,0.48,0.37,0.07,0.06,15,93,12,0,27.17,14.12,539,0,1,47.8,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
109,Dinesh Bhatt Suppliers LLP,Harish Yadav,29CCCPG3545R2ZP,CCCPG3545R,Karnataka,IT/ITES,22907942,229.1,7176993,31.33,21398453,8503005,12895448,3347022,3134340,14048302,140.5,0.66,5.53,0.22,0.15,13,158,4,8,3.08,23.39,602,1,1,90.3,LOW,APPROVE,0
110,Mohan Fabrics Pvt Ltd,Ramesh Arora,27QQQPZ5247F2Z8,QQQPZ5247F,Maharashtra,Manufacturing,20214953,202.1,1688803,8.35,7043323,5757029,1286293,2712625,4537552,11755268,117.6,4.48,1.56,0.39,0.13,3,14,9,3,8.64,25.36,479,1,0,48.5,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
111,Bhatia & Reddy International Pvt Ltd,Satish Iyer,21XXXBH9336A1Z0,XXXBH9336A,Odisha,Steel,37290827,372.9,2030759,5.45,15113820,8417558,6696263,3699785,6052663,17129306,171.3,1.26,1.28,0.35,0.1,18,5,4,8,13.76,17.34,484,1,0,52.0,HIGH,CONDITIONAL APPROVAL,0
112,Rao & Kapoor International & Co,Rakesh Rao,03QQQAM2129O2ZJ,QQQAM2129O,Punjab,Manufacturing,18545038,185.5,-869399,-4.69,8024433,3253793,4770640,1487222,2979192,8860503,88.6,0.68,0.3,0.34,0.08,2,10,10,2,12.22,27.5,648,1,0,40.4,HIGH,HIGH RISK — COLLATERAL REQUIRED,1
113,Iyer & Jain Industries Pvt Ltd,Paresh Kapoor,24WWWAK1023Y3ZO,WWWAK1023Y,Gujarat,Pharmaceuticals,57692826,576.9,6778540,11.75,18815170,13191734,5623436,4487050,11172257,21063729,210.6,2.35,3.49,0.53,0.08,10,16,10,2,37.3,14.86,494,0,0,79.5,LOW,APPROVE WITH CONDITIONS,0
114,Satish Khanna Suppliers,Kapil Mehta,27BBBLV3141H2ZG,BBBLV3141H,Maharashtra,Manufacturing,63881492,638.8,9382472,14.69,30083501,24543755,5539745,13983872,9375824,10691914,106.9,4.43,5.81,0.88,0.22,26,10,9,3,12.35,11.13,632,0,0,99.7,LOW,APPROVE,0
115,Vikas Bhatt Solutions,Harish Nair,29GGGJJ8591I1Z5,GGGJJ8591I,Karnataka,Pharmaceuticals,18507073,185.1,2626831,14.19,10102605,5176422,4926183,2232595,5828316,3498852,35.0,1.05,8.13,1.67,0.12,17,25,9,3,19.72,10.99,425,0,0,95.5,LOW,APPROVE,0
116,Sinha Products,Pooja Verma,24DDDJD3290D1Z3,DDDJD3290D,Gujarat,Pharmaceuticals,52709329,527.1,9617150,18.25,19729682,16496131,3233551,10686532,19917502,11088418,110.9,5.1,7.8,1.8,0.2,4,36,8,4,5.4,18.38,690,0,0,83.8,LOW,APPROVE,0
117,Rao & Desai Trading Co LLP,Ramesh Jain,03NNNLP1483M3ZR,NNNLP1483M,Punjab,Manufacturing,30432996,304.3,2575164,8.46,14118273,12587717,1530556,9068444,19634898,13162541,131.6,8.22,2.12,1.49,0.3,16,31,9,3,6.08,22.47,604,1,0,45.4,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
118,Ritu Arora International & Co,Ritu Deshpande,24UUUPZ1319M3ZM,UUUPZ1319M,Gujarat,Auto Components,13002202,130.0,624682,4.8,5456254,3815631,1640623,1312222,1103815,2094221,20.9,2.33,3.23,0.53,0.1,19,86,10,2,20.2,9.83,525,0,0,84.2,LOW,APPROVE,0
119,Joshi Associates,Rakesh Arora,21ZZZAY4594S2ZM,ZZZAY4594S,Odisha,Steel,135082108,1350.8,8952953,6.63,45381646,36868673,8512973,19667175,16418272,76398318,764.0,4.33,1.27,0.21,0.15,1,32,8,4,53.48,37.62,466,0,0,22.7,VERY HIGH,REJECT,1
120,Kapil Works,Dinesh Sinha,07AAAPP1011K3ZC,AAAPP1011K,Delhi,Logistics,10045937,100.5,393257,3.91,9181724,1910010,7271714,1330918,855159,3859089,38.6,0.26,1.1,0.22,0.13,14,7,11,1,47.0,9.61,570,1,0,60.7,MEDIUM,CONDITIONAL APPROVAL,0
121,Ashish Reddy Products & Co,Deepak Joshi,29NNNEP6198F3ZZ,NNNEP6198F,Karnataka,IT/ITES,9711631,97.1,3076828,31.68,4713749,958409,3755341,449587,803236,5985921,59.9,0.26,5.57,0.13,0.05,1,22,8,4,9.21,23.51,578,0,0,90.4,LOW,APPROVE,0
122,Mehta & Shah Industries LLP,Anita Kumar,21CCCFL6234F3Z5,CCCFL6234F,Odisha,Steel,48356517,483.6,1446839,2.99,20008527,13751235,6257292,10246109,27283353,10653081,106.5,2.2,1.22,2.56,0.21,14,71,5,7,53.98,37.9,460,0,0,76.9,LOW,APPROVE WITH CONDITIONS,0
123,Manish Traders LLP,Ritu Patel,33ZZZTU4695F2Z4,ZZZTU4695F,Tamil Nadu,IT/ITES,12274596,122.7,2206998,17.98,4361735,1858648,2503087,624737,670266,5350737,53.5,0.74,4.47,0.13,0.05,19,32,3,9,6.09,13.75,713,0,0,100.0,LOW,APPROVE,0
124,Divya Traders Pvt Ltd,Ritu Mishra,27GGGLW9849I3ZI,GGGLW9849I,Maharashtra,IT/ITES,21169858,211.7,5319311,25.13,7917434,2499761,5417673,1165862,2442577,3269820,32.7,0.46,17.62,0.75,0.06,16,42,6,6,12.53,11.63,751,1,0,100.0,LOW,APPROVE,0
125,Pooja Industries Ltd,Ramesh Singh,27DDDGZ7512P2ZG,DDDGZ7512P,Maharashtra,Manufacturing,14803913,148.0,468862,3.17,5869440,4693269,1176171,2382833,5954940,5084794,50.8,3.99,1.0,1.17,0.16,6,23,8,4,10.14,23.3,571,0,0,66.5,MEDIUM,APPROVE WITH CONDITIONS,0
126,Jain Brothers,Vikas Tiwari,27HHHPB7342Q2ZY,HHHPB7342Q,Maharashtra,Manufacturing,15803995,158.0,1051754,6.65,7418023,5733024,1684999,1994939,4387337,5544907,55.4,3.4,2.05,0.79,0.13,7,225,9,3,17.17,45.49,742,0,0,75.7,LOW,APPROVE WITH CONDITIONS,0
127,Joshi Solutions Ltd,Naresh Mehta,27UUUCT5225K3Z4,UUUCT5225K,Maharashtra,Food Processing,11256863,112.6,101486,0.9,4835579,2371148,2464431,943031,1625583,3693554,36.9,0.96,0.3,0.44,0.08,5,18,6,6,32.16,32.33,587,0,0,51.2,HIGH,CONDITIONAL APPROVAL,0
128,Kulkarni & Rao Industries,Mohan Sinha,20IIILU8955S3ZU,IIILU8955S,Jharkhand,Steel,69011338,690.1,1887230,2.73,30761467,14143806,16617661,7294477,8154150,44319635,443.2,0.85,0.46,0.18,0.11,12,114,12,0,5.6,33.44,716,0,0,86.7,LOW,APPROVE,0
129,Jain Manufacturers LLP,Dinesh Bhatt,33WWWED4734E2ZS,WWWED4734E,Tamil Nadu,Textile,21090636,210.9,1825961,8.66,13729295,12043012,1686283,5413006,7703494,3557133,35.6,7.14,2.92,2.17,0.26,1,105,11,1,40.12,18.51,757,0,0,62.0,MEDIUM,CONDITIONAL APPROVAL,0
130,Rao & Sinha Trading Co & Co,Deepak Tandon,33GGGFB5087B2Z3,GGGFB5087B,Tamil Nadu,Logistics,26236561,262.4,1726090,6.58,9374526,3503124,5871402,2316607,5126152,9890397,98.9,0.6,1.89,0.52,0.09,20,6,5,7,21.95,43.77,653,0,1,71.3,MEDIUM,APPROVE WITH CONDITIONS,0
131,Iyer Products LLP,Rajesh Reddy,22CCCGA7333B1ZD,CCCGA7333B,Chhattisgarh,Steel,105804152,1058.0,5444967,5.15,60447124,24326750,36120373,19792898,11596832,42335654,423.4,0.67,1.39,0.27,0.19,28,96,12,0,14.06,9.76,531,0,0,79.9,LOW,APPROVE WITH CONDITIONS,0
132,Kiran Exports,Satish Iyer,06LLLJI4575O2ZX,LLLJI4575O,Haryana,Auto Components,13486207,134.9,1798998,13.34,8737713,6122304,2615409,3116105,1878133,4282709,42.8,2.34,4.55,0.44,0.23,18,18,9,3,21.12,19.16,780,0,0,99.1,LOW,APPROVE,0
133,Khanna Brothers,Ritu Deshpande,06ZZZTM6236V1Z1,ZZZTM6236V,Haryana,Auto Components,29224083,292.2,3222537,11.03,18924735,10942207,7982529,8881131,22979253,5215810,52.2,1.37,3.14,4.41,0.3,6,19,7,5,6.02,19.38,594,0,1,88.1,LOW,APPROVE,0
134,Sinha & Nair Works Ltd,Anil Tandon,07DDDJE5237X3ZB,DDDJE5237X,Delhi,Logistics,7224319,72.2,670587,9.28,5361390,4462553,898837,1451472,1856596,2571007,25.7,4.96,2.83,0.72,0.2,9,56,5,7,7.73,7.32,830,0,0,82.7,LOW,APPROVE,0
135,Deepak Associates Pvt Ltd,Ramesh Shah,24QQQGN1885E1ZC,QQQGN1885E,Gujarat,Textile,15486564,154.9,900587,5.82,9693637,5515126,4178511,2267089,1940069,6052829,60.5,1.32,1.61,0.32,0.15,24,68,9,3,18.25,15.33,662,1,0,66.4,MEDIUM,APPROVE WITH CONDITIONS,0
136,Sharma Fabrics Pvt Ltd,Arjun Deshpande,29ZZZBE8105U2ZP,ZZZBE8105U,Karnataka,Retail,1790234,17.9,44903,2.51,759525,670711,88814,415408,1118814,850794,8.5,7.55,0.57,1.32,0.23,22,122,10,2,26.38,12.93,714,0,0,41.7,HIGH,HIGH RISK — COLLATERAL REQUIRED,1
137,Verma International LLP,Sunil Tiwari,33BBBGJ8469X3ZX,BBBGJ8469X,Tamil Nadu,Auto Components,32038890,320.4,-539145,-1.68,15411442,12537545,2873897,6198438,6147742,13965912,139.7,4.36,0.3,0.44,0.19,22,255,10,2,6.43,9.37,416,0,1,40.2,HIGH,HIGH RISK — COLLATERAL REQUIRED,1
138,Modi Brothers LLP,Rajesh Bhatt,27UUUGY9761T1Z3,UUUGY9761T,Maharashtra,Textile,13846199,138.5,900289,6.5,5933728,5320600,613128,2533342,3951306,3665093,36.7,8.68,2.66,1.08,0.18,2,48,6,6,9.12,13.29,645,0,0,44.1,HIGH,HIGH RISK — COLLATERAL REQUIRED,1
139,Bhatia & Desai Traders Pvt Ltd,Mukesh Tandon,29DDDPX2928J1Z6,DDDPX2928J,Karnataka,IT/ITES,7711325,77.1,1403504,18.2,3220464,2881257,339207,1987424,2585356,1547414,15.5,8.49,6.12,1.67,0.26,11,239,8,4,14.93,32.97,631,0,0,72.9,MEDIUM,APPROVE WITH CONDITIONS,0
140,Neha Industries Pvt Ltd,Satish Chopra,27VVVJE2475Y3Z4,VVVJE2475Y,Maharashtra,Chemicals,27435746,274.4,-37863,-0.14,14056977,8891412,5165566,4226707,10487459,6814118,68.1,1.72,0.3,1.54,0.15,25,44,6,6,34.57,19.97,671,0,0,71.1,MEDIUM,APPROVE WITH CONDITIONS,0
141,Yadav Enterprises LLP,Anil Verma,27UUUCK6857O3ZH,UUUCK6857O,Maharashtra,Manufacturing,67253401,672.5,4957823,7.37,26979142,10533925,16445217,4816226,5214619,30774327,307.7,0.64,1.75,0.17,0.07,18,43,9,3,30.47,26.69,562,1,0,64.8,MEDIUM,CONDITIONAL APPROVAL,0
142,Modi Technologies LLP,Manish Mehta,27OOOCT7221Y2Z1,OOOCT7221Y,Maharashtra,Textile,39789086,397.9,-106384,-0.27,30046661,24077783,5968878,15212889,39207429,13883960,138.8,4.03,0.3,2.82,0.38,19,68,11,1,18.74,17.54,571,0,0,56.4,MEDIUM,CONDITIONAL APPROVAL,0
143,Iyer & Gupta Fabrics Pvt Ltd,Sunita Rao,27RRRTB1190U1ZW,RRRTB1190U,Maharashtra,IT/ITES,11206371,112.1,2945387,26.28,3801386,1561581,2239805,1139288,2458078,5355717,53.6,0.7,5.96,0.46,0.1,19,30,6,6,57.15,9.74,856,0,0,98.3,LOW,APPROVE,0
144,Bhatt Technologies & Co,Neha Kulkarni,06KKKBP1291D2ZQ,KKKBP1291D,Haryana,Manufacturing,18248267,182.5,1317404,7.22,14572424,10999867,3572557,5372297,2956150,6022119,60.2,3.08,2.13,0.49,0.29,26,62,12,0,8.35,10.86,797,1,0,64.8,MEDIUM,CONDITIONAL APPROVAL,0
145,Arora Traders,Neha Mishra,33VVVFA6592L3ZI,VVVFA6592L,Tamil Nadu,Logistics,30365705,303.7,3174085,10.45,13251976,3651606,9600370,2730215,6694438,7124036,71.2,0.38,4.83,0.94,0.09,20,109,10,2,16.14,33.3,648,0,1,100.0,LOW,APPROVE,0
146,Deepak Suppliers & Co,Priya Bhatia,24DDDJO9260E2Z0,DDDJO9260E,Gujarat,Chemicals,24795426,248.0,1054533,4.25,8770898,3017627,5753270,1447474,1532430,11267873,112.7,0.52,1.01,0.14,0.06,3,15,12,0,52.58,21.2,900,0,0,63.4,MEDIUM,CONDITIONAL APPROVAL,0
147,Sunil Suppliers,Ritu Bhatia,21EEECN9393J3ZZ,EEECN9393J,Odisha,Steel,35088610,350.9,2048091,5.84,13708068,5117506,8590562,3548505,8799684,5431413,54.3,0.6,4.09,1.62,0.1,14,37,12,0,4.53,22.41,893,0,0,100.0,LOW,APPROVE,0
148,Mehta & Reddy Suppliers,Vikram Desai,07MMMCB1927G2ZA,MMMCB1927G,Delhi,Logistics,25714802,257.1,1608188,6.25,8371244,4075478,4295766,1711771,1051286,10180156,101.8,0.95,1.71,0.1,0.07,20,35,9,3,17.51,37.03,676,1,1,59.5,MEDIUM,CONDITIONAL APPROVAL,0
149,Arjun Sinha Associates & Co,Priya Sharma,08RRRAA5117G3ZS,RRRAA5117G,Rajasthan,Textile,30806299,308.1,1174065,3.81,11883207,6281051,5602156,2401844,3520168,18662577,186.6,1.12,0.68,0.19,0.08,24,10,8,4,11.48,17.14,656,0,0,69.5,MEDIUM,APPROVE WITH CONDITIONS,0
150,Deshpande Enterprises,Anita Khanna,36KKKJW3536B1ZK,KKKJW3536B,Telangana,IT/ITES,13326824,133.3,1920583,14.41,10226795,9133374,1093421,3707094,8836287,4418531,44.2,8.35,4.49,2.0,0.28,18,10,7,5,47.98,18.02,649,0,0,52.4,HIGH,CONDITIONAL APPROVAL,0
151,Satish Brothers Pvt Ltd,Suresh Sinha,03GGGTQ8780R3Z0,GGGTQ8780R,Punjab,Manufacturing,29942239,299.4,1262547,4.22,11451769,7689438,3762331,2667329,3258580,14340046,143.4,2.04,0.95,0.23,0.09,21,31,8,4,7.33,41.11,564,0,0,71.3,MEDIUM,APPROVE WITH CONDITIONS,0
152,Chopra Solutions Pvt Ltd,Suresh Kapoor,33CCCBF9814R1Z4,CCCBF9814R,Tamil Nadu,Logistics,32855037,328.6,1299696,3.96,12386923,7497604,4889319,3555685,9109555,5454548,54.5,1.53,2.58,1.67,0.11,29,96,3,9,30.72,22.48,714,0,0,98.9,LOW,APPROVE,0
153,Kavita Joshi Industries LLP,Kiran Bhatt,24SSSFI7678M2ZP,SSSFI7678M,Gujarat,Chemicals,20218569,202.2,-689462,-3.41,16318098,14749964,1568134,8538370,7214354,6365765,63.7,9.41,0.3,1.13,0.42,16,44,6,6,36.08,19.28,480,0,0,0.0,VERY HIGH,REJECT,1
154,Kiran Singh Exports,Harish Tiwari,20AAAJF9740H1ZP,AAAJF9740H,Jharkhand,Steel,104053041,1040.5,7645927,7.35,91842775,70438300,21404475,48501141,100633167,42428664,424.3,3.29,1.37,2.37,0.47,28,58,9,3,32.88,8.43,605,0,0,75.2,LOW,APPROVE WITH CONDITIONS,0
155,Agarwal Exports Pvt Ltd,Naresh Desai,27HHHTI4183D1Z3,HHHTI4183D,Maharashtra,Chemicals,20422515,204.2,1798248,8.81,6578553,4095740,2482812,1421248,1566381,4349770,43.5,1.65,4.48,0.36,0.07,25,28,7,5,9.33,15.91,684,0,0,100.0,LOW,APPROVE,0
156,Verma & Kulkarni Technologies LLP,Pooja Deshpande,20JJJTE6971Z2ZR,JJJTE6971Z,Jharkhand,Steel,80530884,805.3,3397056,4.22,46532552,30526533,16006020,24260197,54684961,46175305,461.8,1.91,0.8,1.18,0.3,25,44,12,0,27.68,9.03,661,0,0,69.5,MEDIUM,APPROVE WITH CONDITIONS,0
157,Tiwari & Sharma Fabrics Ltd,Kapil Sinha,24EEEPG5312X3Z4,EEEPG5312X,Gujarat,Auto Components,28350753,283.5,2605996,9.19,15279798,7818027,7461771,2604888,1865141,13562290,135.6,1.05,2.08,0.14,0.09,1,120,9,3,14.39,37.36,790,0,0,80.3,LOW,APPROVE,0
158,Verma Trading Co Pvt Ltd,Divya Reddy,27QQQPC7500L3Z0,QQQPC7500L,Maharashtra,IT/ITES,22912996,229.1,4746068,20.71,7483464,5323804,2159660,2898915,3686709,8781302,87.8,2.47,5.86,0.42,0.13,7,43,12,0,9.99,8.81,710,0,0,100.0,LOW,APPROVE,0
159,Naresh Iyer Solutions,Rajan Malhotra,03LLLLP8448B1ZK,LLLLP8448B,Punjab,Manufacturing,47006961,470.1,4856192,10.33,21443431,6575646,14867784,4479447,6359874,16784662,167.8,0.44,3.13,0.38,0.1,10,19,8,4,52.73,17.14,585,0,0,80.1,LOW,APPROVE,0
160,Bhatia & Kulkarni Suppliers Pvt Ltd,Ritu Tandon,29TTTAQ3276O1ZE,TTTAQ3276O,Karnataka,Food Processing,25202369,252.0,861205,3.42,8778898,7337391,1441507,4375055,11006499,5353632,53.5,5.09,1.71,2.06,0.17,26,35,9,3,15.48,27.7,410,0,0,54.7,HIGH,CONDITIONAL APPROVAL,0
161,Desai & Jain Manufacturers LLP,Ritu Kumar,27SSSCE9399B3Z9,SSSCE9399B,Maharashtra,Food Processing,23807267,238.1,1320628,5.55,13460728,6973703,6487025,4284924,3174212,5868922,58.7,1.08,2.44,0.54,0.18,7,20,12,0,18.44,49.69,622,0,1,83.8,LOW,APPROVE,0
162,Malhotra Traders Pvt Ltd,Ritu Sharma,29VVVPI3747X3ZL,VVVPI3747X,Karnataka,Food Processing,16127323,161.3,1218225,7.55,5115354,1403815,3711539,784564,2147925,3028591,30.3,0.38,4.36,0.71,0.05,22,30,3,9,51.45,22.47,761,0,0,97.3,LOW,APPROVE,0
